taxa,Aug28,Aug31,Sep4,Sep7,Sep11,Sep14,site,method
Hymenoptera,2,0,1,1,0,0,1,sn
Diptera,2,0,0,2,7,3,1,sn
Mecoptera,0,0,0,0,0,0,1,sn
Lepidoptera,0,0,0,0,0,0,1,sn
Coleoptera,0,0,0,0,0,0,1,sn
Neuroptera,0,0,0,0,0,0,1,sn
Trichoptera,0,0,0,0,0,0,1,sn
Hemiptera,1,0,0,2,0,0,1,sn
Orthoptera,0,0,0,0,0,0,1,sn
Arachnids,0,1,0,1,0,0,1,sn
NIH,3,0,3,1,0,1,1,sn
Diplopoda,0,0,1,0,0,0,1,sn
Psocoptera,1,0,0,0,0,0,1,sn
Hymenoptera,1,0,1,1,1,1,2,sn
Diptera,2,2,1,0,7,2,2,sn
Mecoptera,0,0,0,0,0,0,2,sn
Lepidoptera,1,0,0,0,0,0,2,sn
Coleoptera,0,0,0,0,0,0,2,sn
Neuroptera,0,0,0,0,0,0,2,sn
Trichoptera,0,0,0,0,0,0,2,sn
Hemiptera,1,0,0,0,0,0,2,sn
Orthoptera,0,0,0,0,0,0,2,sn
Arachnids,2,0,2,1,3,2,2,sn
unidentified,0,0,0,0,1,0,2,sn
NIH,1,0,0,3,0,1,2,sn
Hymenoptera,1,0,0,0,1,0,3,sn
Diptera,4,1,4,3,2,5,3,sn
Mecoptera,0,0,0,0,0,0,3,sn
Lepidoptera,1,0,0,0,0,0,3,sn
Coleoptera,0,0,0,0,0,0,3,sn
Neuroptera,0,0,0,0,0,0,3,sn
Trichoptera,0,0,0,0,0,0,3,sn
Hemiptera,0,0,1,0,2,0,3,sn
Orthoptera,0,0,0,0,0,0,3,sn
Arachnids,4,0,1,0,0,0,3,sn
NIH,4,0,1,1,0,0,3,sn
Psocoptera,1,1,2,0,0,0,3,sn
Hymenoptera,1,2,1,0,2,1,4,sn
Diptera,4,0,1,4,6,3,4,sn
Mecoptera,0,0,0,0,0,0,4,sn
Lepidoptera,0,0,0,0,0,0,4,sn
Coleoptera,1,0,0,0,0,0,4,sn
Neuroptera,0,0,0,0,0,0,4,sn
Trichoptera,0,0,0,0,0,0,4,sn
Hemiptera,1,0,1,0,0,0,4,sn
Orthoptera,0,0,0,0,0,0,4,sn
Arachnids,0,0,0,1,0,1,4,sn
NIH,0,0,0,1,0,0,4,sn
Psocoptera,0,0,0,0,0,0,4,sn
Hymenoptera,4,0,1,2,1,2,5,sn
Diptera,0,0,2,3,5,3,5,sn
Mecoptera,0,0,0,0,0,0,5,sn
Lepidoptera,0,0,0,0,0,0,5,sn
Coleoptera,0,0,0,0,0,0,5,sn
Neuroptera,0,0,0,0,0,0,5,sn
Trichoptera,0,0,0,0,0,0,5,sn
Hemiptera,0,0,1,1,0,0,5,sn
Orthoptera,0,0,0,0,0,0,5,sn
Arachnids,1,0,0,1,0,0,5,sn
psocoptera,1,0,0,1,0,0,5,sn
NIH,0,0,0,0,0,1,5,sn
Hymenoptera,6,1,1,1,0,3,6,sn
Diptera,1,1,2,5,2,1,6,sn
Mecoptera,0,0,0,0,0,0,6,sn
Lepidoptera,0,0,0,0,1,0,6,sn
Coleoptera,1,0,0,0,0,0,6,sn
Neuroptera,0,0,0,0,0,0,6,sn
Trichoptera,0,0,0,0,0,0,6,sn
Hemiptera,0,0,0,1,1,1,6,sn
Orthoptera,0,0,0,0,0,0,6,sn
Arachnids,0,0,1,0,1,1,6,sn
Non-insect hex,1,1,0,0,1,0,6,sn
Psocoptera,1,0,0,1,0,0,6,sn
Thysanoptera,0,1,0,0,0,0,6,sn
Hymenoptera,4,0,0,1,1,2,7,sn
Diptera,4,3,3,3,5,1,7,sn
Mecoptera,0,0,0,0,0,0,7,sn
Lepidoptera,0,0,0,0,0,0,7,sn
Coleoptera,1,0,0,0,0,1,7,sn
Neuroptera,0,0,0,0,0,0,7,sn
Trichoptera,0,0,0,0,0,0,7,sn
Hemiptera,0,0,1,1,0,0,7,sn
Orthoptera,0,0,0,0,0,0,7,sn
Arachnids,9,0,2,2,1,1,7,sn
Pscoptera,1,0,1,1,0,1,7,sn
NIH,0,0,2,1,0,0,7,sn
UI,1,0,0,0,0,0,7,sn
Hymenoptera,6,1,0,3,2,3,8,sn
Diptera,5,1,3,1,2,3,8,sn
Mecoptera,0,0,0,0,0,0,8,sn
Lepidoptera,0,0,0,0,0,0,8,sn
Coleoptera,0,0,0,1,0,0,8,sn
Neuroptera,0,0,0,0,0,0,8,sn
Trichoptera,0,0,0,0,0,0,8,sn
Hemiptera,0,0,0,0,0,0,8,sn
Orthoptera,0,0,0,0,0,0,8,sn
Arachnids,1,0,0,0,3,0,8,sn
NIH,3,3,2,0,2,0,8,sn
UI,0,0,1,0,1,0,8,sn
Psocoptera,2,0,0,0,0,1,8,sn
Thysanoptera,15,0,0,0,0,0,8,sn
Hymenoptera,1,1,2,0,2,1,9,sn
Diptera,4,1,0,1,3,4,9,sn
Mecoptera,0,0,0,0,0,0,9,sn
Lepidoptera,0,0,0,0,0,0,9,sn
Coleoptera,0,0,0,0,0,0,9,sn
Neuroptera,0,0,0,0,0,0,9,sn
Trichoptera,0,0,0,0,0,0,9,sn
Hemiptera,0,0,1,0,0,0,9,sn
Orthoptera,0,0,0,0,0,0,9,sn
Arachnids,0,0,0,1,1,0,9,sn
NIH,7,0,0,1,1,0,9,sn
Thysanoptera,3,0,0,0,0,0,9,sn
Hymenoptera,NA,2,NA,6,NA,4,1,pf
Diptera,NA,7,NA,1,NA,1,1,pf
Mecoptera,NA,0,NA,0,NA,0,1,pf
Lepidoptera,NA,0,NA,0,NA,0,1,pf
Coleoptera,NA,3,NA,2,NA,5,1,pf
Neuroptera,NA,0,NA,0,NA,0,1,pf
Trichoptera,NA,0,NA,0,NA,0,1,pf
Hemiptera,NA,1,NA,1,NA,1,1,pf
Orthoptera,NA,1,NA,2,NA,1,1,pf
Arachnids,NA,1,NA,1,NA,0,1,pf
NIH,NA,4,NA,0,NA,2,1,pf
Diplopoda,NA,0,NA,0,NA,0,1,pf
Psocoptera,NA,0,NA,0,NA,0,1,pf
Chilopoda,NA,0,NA,1,NA,0,1,pf
Hymenoptera,NA,0,NA,6,NA,2,2,pf
Diptera,NA,1,NA,2,NA,4,2,pf
Mecoptera,NA,0,NA,0,NA,0,2,pf
Lepidoptera,NA,0,NA,1,NA,0,2,pf
Coleoptera,NA,11,NA,8,NA,0,2,pf
Neuroptera,NA,0,NA,0,NA,0,2,pf
Trichoptera,NA,0,NA,0,NA,0,2,pf
Hemiptera,NA,1,NA,1,NA,1,2,pf
Orthoptera,NA,2,NA,1,NA,0,2,pf
Arachnids,NA,0,NA,3,NA,1,2,pf
unidentified,NA,0,NA,0,NA,0,2,pf
NIH,NA,2,NA,2,NA,4,2,pf
Diplopoda,NA,1,NA,1,NA,0,2,pf
Hymenoptera,NA,4,NA,2,NA,7,3,pf
Diptera,NA,1,NA,3,NA,2,3,pf
Mecoptera,NA,0,NA,0,NA,0,3,pf
Lepidoptera,NA,0,NA,0,NA,0,3,pf
Coleoptera,NA,7,NA,5,NA,4,3,pf
Neuroptera,NA,0,NA,0,NA,0,3,pf
Trichoptera,NA,0,NA,0,NA,0,3,pf
Hemiptera,NA,0,NA,0,NA,1,3,pf
Orthoptera,NA,3,NA,2,NA,1,3,pf
Arachnids,NA,2,NA,4,NA,5,3,pf
NIH,NA,0,NA,2,NA,4,3,pf
Psocoptera,NA,0,NA,0,NA,0,3,pf
Diplopoda,NA,0,NA,0,NA,1,3,pf
Hymenoptera,NA,12,NA,5,NA,9,4,pf
Diptera,NA,12,NA,1,NA,3,4,pf
Mecoptera,NA,0,NA,0,NA,0,4,pf
Lepidoptera,NA,1,NA,0,NA,0,4,pf
Coleoptera,NA,9,NA,1,NA,1,4,pf
Neuroptera,NA,0,NA,0,NA,0,4,pf
Trichoptera,NA,0,NA,0,NA,0,4,pf
Hemiptera,NA,1,NA,1,NA,0,4,pf
Orthoptera,NA,3,NA,2,NA,1,4,pf
Arachnids,NA,5,NA,3,NA,1,4,pf
NIH,NA,0,NA,0,NA,0,4,pf
Psocoptera,NA,0,NA,0,NA,0,4,pf
Gastropoda,NA,0,NA,1,NA,0,4,pf
Diplopoda,NA,1,NA,0,NA,0,4,pf
Hymenoptera,NA,18,NA,0,NA,8,5,pf
Diptera,NA,4,NA,0,NA,6,5,pf
Mecoptera,NA,1,NA,0,NA,0,5,pf
Lepidoptera,NA,0,NA,0,NA,0,5,pf
Coleoptera,NA,6,NA,0,NA,1,5,pf
Neuroptera,NA,0,NA,0,NA,0,5,pf
Trichoptera,NA,0,NA,0,NA,0,5,pf
Hemiptera,NA,1,NA,0,NA,1,5,pf
Orthoptera,NA,3,NA,0,NA,0,5,pf
Arachnids,NA,3,NA,0,NA,3,5,pf
psocoptera,NA,0,NA,0,NA,0,5,pf
NIH,NA,4,NA,0,NA,3,5,pf
Gastropoda,NA,0,NA,0,NA,1,5,pf
Hymenoptera,NA,15,NA,4,NA,1,6,pf
Diptera,NA,1,NA,0,NA,0,6,pf
Mecoptera,NA,0,NA,0,NA,0,6,pf
Lepidoptera,NA,0,NA,0,NA,1,6,pf
Coleoptera,NA,5,NA,1,NA,4,6,pf
Neuroptera,NA,0,NA,0,NA,0,6,pf
Trichoptera,NA,0,NA,0,NA,0,6,pf
Hemiptera,NA,0,NA,1,NA,0,6,pf
Orthoptera,NA,1,NA,0,NA,0,6,pf
Arachnids,NA,2,NA,1,NA,2,6,pf
Non-insect hex,NA,10,NA,1,NA,2,6,pf
Psocoptera,NA,0,NA,0,NA,0,6,pf
Thysanoptera,NA,0,NA,0,NA,0,6,pf
Gastropoda,NA,0,NA,1,NA,0,6,pf
Hymenoptera,NA,18,NA,4,NA,8,7,pf
Diptera,NA,3,NA,7,NA,6,7,pf
Mecoptera,NA,0,NA,0,NA,0,7,pf
Lepidoptera,NA,0,NA,0,NA,0,7,pf
Coleoptera,NA,7,NA,4,NA,5,7,pf
Neuroptera,NA,0,NA,0,NA,0,7,pf
Trichoptera,NA,0,NA,0,NA,0,7,pf
Hemiptera,NA,0,NA,0,NA,0,7,pf
Orthoptera,NA,5,NA,1,NA,1,7,pf
Arachnids,NA,8,NA,7,NA,0,7,pf
Pscoptera,NA,0,NA,0,NA,0,7,pf
NIH,NA,4,NA,4,NA,3,7,pf
UI,NA,0,NA,0,NA,0,7,pf
Gastropoda,NA,0,NA,0,NA,2,7,pf
Chilopoda,NA,0,NA,0,NA,0,7,pf
Diplopoda,NA,9,NA,4,NA,0,7,pf
Hymenoptera,NA,9,NA,5,NA,7,8,pf
Diptera,NA,3,NA,4,NA,4,8,pf
Mecoptera,NA,0,NA,0,NA,0,8,pf
Lepidoptera,NA,1,NA,2,NA,0,8,pf
Coleoptera,NA,7,NA,2,NA,2,8,pf
Neuroptera,NA,0,NA,0,NA,0,8,pf
Trichoptera,NA,0,NA,0,NA,0,8,pf
Hemiptera,NA,0,NA,0,NA,0,8,pf
Orthoptera,NA,0,NA,0,NA,0,8,pf
Arachnids,NA,4,NA,18,NA,0,8,pf
NIH,NA,6,NA,4,NA,5,8,pf
UI,NA,0,NA,0,NA,0,8,pf
Psocoptera,NA,0,NA,1,NA,0,8,pf
Thysanoptera,NA,0,NA,0,NA,0,8,pf
Gastropoda,NA,0,NA,0,NA,1,8,pf
Microcoryphia,NA,0,NA,1,NA,1,8,pf
Isopoda,NA,0,NA,1,NA,0,8,pf
Chilopoda,NA,0,NA,0,NA,0,8,pf
Diplopoda,NA,24,NA,3,NA,0,8,pf
Hymenoptera,NA,14,NA,4,NA,5,9,pf
Diptera,NA,10,NA,6,NA,7,9,pf
Mecoptera,NA,0,NA,0,NA,0,9,pf
Lepidoptera,NA,0,NA,0,NA,0,9,pf
Coleoptera,NA,9,NA,1,NA,1,9,pf
Neuroptera,NA,0,NA,0,NA,0,9,pf
Trichoptera,NA,0,NA,0,NA,0,9,pf
Hemiptera,NA,0,NA,0,NA,0,9,pf
Orthoptera,NA,1,NA,0,NA,1,9,pf
Arachnids,NA,7,NA,2,NA,2,9,pf
NIH,NA,2,NA,4,NA,7,9,pf
Thysanoptera,NA,0,NA,0,NA,0,9,pf
Gastropoda,NA,1,NA,0,NA,0,9,pf
Microcoryphia,NA,0,NA,0,NA,0,9,pf
Diplopoda,NA,10,NA,5,NA,0,9,pf
